Day,Schedule,Price,Quantity
1.0,1.0,0.0,124.18418081441695
1.0,1.0,16.662857142857145,53.19013993692837
1.0,1.0,19.44,52.27119879197232
1.0,1.0,23.328000000000003,53.38316427680621
1.0,1.0,24.43885714285715,27.760220923291303
1.0,1.0,24.994285714285716,37.161336487556575
1.0,1.0,26.10514285714286,13.694245538672249
1.0,1.0,27.216000000000005,0.0
1.0,1.0,28.604571428571433,0.0
1.0,1.0,29.16,0.0
1.0,1.0,31.659428571428574,0.0
1.0,1.0,38.88,0.0
1.0,1.0,22.6,0.0
1.0,1.0,53.19348387096774,0.0
1.0,1.0,79.48451612903226,0.0
1.0,1.0,387.23225806451615,0.0
1.0,1.0,407.6129032258064,0.0
1.0,1.0,521.7445161290323,0.0
1.0,1.0,635.8761290322581,0.0
1.0,1.0,815.0219999999999,0.0
2.0,1.0,0.0,124.18418081441695
2.0,1.0,16.662857142857145,53.19013993692837
2.0,1.0,19.44,52.27119879197232
2.0,1.0,23.328000000000003,53.38316427680621
2.0,1.0,24.43885714285715,27.760220923291303
2.0,1.0,24.994285714285716,37.161336487556575
2.0,1.0,26.10514285714286,13.694245538672249
2.0,1.0,27.216000000000005,0.0
2.0,1.0,28.604571428571433,0.0
2.0,1.0,29.16,0.0
2.0,1.0,31.659428571428574,0.0
2.0,1.0,38.88,0.0
2.0,1.0,22.6,0.0
2.0,1.0,53.19348387096774,0.0
2.0,1.0,79.48451612903226,0.0
2.0,1.0,387.23225806451615,0.0
2.0,1.0,407.6129032258064,0.0
2.0,1.0,521.7445161290323,0.0
2.0,1.0,635.8761290322581,0.0
2.0,1.0,815.0219999999999,0.0
3.0,1.0,0.0,124.18418081441695
3.0,1.0,16.662857142857145,53.19013993692837
3.0,1.0,19.44,52.27119879197232
3.0,1.0,23.328000000000003,53.38316427680621
3.0,1.0,24.43885714285715,27.760220923291303
3.0,1.0,24.994285714285716,37.161336487556575
3.0,1.0,26.10514285714286,13.694245538672249
3.0,1.0,27.216000000000005,0.0
3.0,1.0,28.604571428571433,0.0
3.0,1.0,29.16,0.0
3.0,1.0,31.659428571428574,0.0
3.0,1.0,38.88,0.0
3.0,1.0,22.6,0.0
3.0,1.0,53.19348387096774,0.0
3.0,1.0,79.48451612903226,0.0
3.0,1.0,387.23225806451615,0.0
3.0,1.0,407.6129032258064,0.0
3.0,1.0,521.7445161290323,0.0
3.0,1.0,635.8761290322581,0.0
3.0,1.0,815.0219999999999,0.0
